Courier,Service_Category,Destination_Region,Weight_kg,Insured_Value_Rs,Rate_Rs
Leopard,Overnight,Pakhtunkhwa,2.69,50000,1216
Pakistan Post,Local,Balochistan,5.58,0,373
TCS,Economy,Sindh,0.51,0,195
Leopard,Overland,Pakhtunkhwa,5.64,20000,878
M&P,Same Day,Balochistan,10.57,0,1323
Leopard,Overnight,Sindh,1.83,10000,703
TCS,City to City,Pakhtunkhwa,1.68,10000,647
Leopard,Economy,Islamabad,3.34,100000,1424
Leopard,Overnight,Balochistan,2.94,100000,1884
M&P,Overland,Islamabad,1.36,50000,833
TCS,Economy,Pakhtunkhwa,0.68,20000,432
M&P,Same Day,Islamabad,1.97,0,535
TCS,Overland,Pakhtunkhwa,0.24,20000,492
Leopard,Overland,Balochistan,3.56,0,481
TCS,City to City,Pakhtunkhwa,2.74,0,660
TCS,Overnight,Pakhtunkhwa,0.51,0,666
Leopard,Overnight,Islamabad,9.85,0,1305
Pakistan Post,Local,Punjab,0.22,0,205
TCS,Overland,Punjab,3.53,50000,1143
Leopard,Economy,Balochistan,1.38,0,177
Pakistan Post,City to City,Balochistan,1.09,10000,453
M&P,City to City,Sindh,1.7,50000,1026
M&P,Economy,Balochistan,0.92,0,187
M&P,City to City,Islamabad,2.39,10000,636
M&P,Overnight,Islamabad,0.26,0,576
Pakistan Post,City to City,Pakhtunkhwa,9.09,0,986
M&P,Overland,Balochistan,1.14,50000,820
Pakistan Post,City to City,Islamabad,0.46,0,304
TCS,Local,Balochistan,4.11,0,474
M&P,Same Day,Islamabad,4.4,0,766
M&P,Economy,Balochistan,0.86,50000,771
Pakistan Post,City to City,Balochistan,0.9,0,331
TCS,Same Day,Islamabad,8.93,0,1482
TCS,Same Day,Sindh,4.6,0,922
TCS,Overnight,Sindh,0.98,20000,871
Leopard,Overland,Islamabad,4.19,0,507
Pakistan Post,City to City,Pakhtunkhwa,1.11,0,327
TCS,Local,Pakhtunkhwa,11.54,0,808
Leopard,Economy,Balochistan,14.97,50000,1301
Pakistan Post,Local,Islamabad,0.83,10000,341
TCS,Overnight,Islamabad,7.5,0,1381
TCS,Same Day,Pakhtunkhwa,1.33,100000,1720
TCS,Same Day,Punjab,1.03,100000,1790
TCS,City to City,Islamabad,1.21,0,496
Pakistan Post,City to City,Sindh,5.29,0,676
M&P,City to City,Punjab,0.36,0,350
Pakistan Post,City to City,Islamabad,4.61,50000,1162
Pakistan Post,Local,Islamabad,10.61,0,580
TCS,City to City,Sindh,0.53,50000,999
Pakistan Post,City to City,Balochistan,17.18,0,1674
Pakistan Post,Local,Punjab,1.52,10000,347
M&P,Overland,Balochistan,0.8,0,242
TCS,Same Day,Punjab,2.17,50000,1260
Leopard,Overland,Pakhtunkhwa,2.57,0,369
Leopard,Overnight,Balochistan,3.01,0,707
TCS,Same Day,Punjab,1.4,0,583
M&P,Overnight,Punjab,1.38,0,661
Leopard,Economy,Punjab,6.05,0,353
Leopard,Overland,Punjab,4.49,10000,696
Pakistan Post,Local,Balochistan,0.8,0,214
M&P,City to City,Sindh,0.55,0,333
Leopard,Overland,Sindh,6.32,0,726
Pakistan Post,Local,Sindh,0.23,100000,1313
TCS,Overland,Islamabad,2.39,20000,681
TCS,Local,Balochistan,1.26,50000,913
M&P,Economy,Sindh,7.71,20000,707
Leopard,Overland,Sindh,0.71,50000,802
TCS,Local,Pakhtunkhwa,1.48,10000,432
M&P,Overnight,Sindh,6.87,0,1151
Pakistan Post,Local,Punjab,1.41,100000,1368
Pakistan Post,Local,Punjab,2.59,0,270
TCS,Same Day,Islamabad,6.74,0,1218
M&P,City to City,Balochistan,2.06,0,507
M&P,City to City,Pakhtunkhwa,0.51,20000,599
Leopard,Economy,Sindh,1.42,0,185
Pakistan Post,City to City,Balochistan,0.6,100000,1496
TCS,Economy,Islamabad,0.35,0,193
Leopard,Overnight,Punjab,2.67,0,669
TCS,City to City,Sindh,5.26,0,926
TCS,Overnight,Balochistan,4.5,20000,1353
Leopard,Overland,Pakhtunkhwa,0.93,20000,470
TCS,Overland,Sindh,8.17,50000,1578
TCS,Local,Balochistan,0.3,0,285
TCS,Same Day,Islamabad,0.55,10000,615
Leopard,Economy,Sindh,1.39,0,188
Leopard,Economy,Balochistan,4.04,0,277
M&P,City to City,Pakhtunkhwa,5.63,10000,979
Leopard,Economy,Sindh,0.64,0,157
TCS,Economy,Pakhtunkhwa,1.24,0,233
Leopard,Overnight,Sindh,3.04,0,714
Pakistan Post,City to City,Islamabad,7.0,20000,1004
Leopard,Overnight,Sindh,1.79,50000,1155
Leopard,Overnight,Balochistan,2.15,0,657
Pakistan Post,Local,Islamabad,1.22,50000,785
Leopard,Economy,Punjab,4.41,0,298
TCS,Overland,Pakhtunkhwa,1.93,0,403
Leopard,Overland,Balochistan,0.88,0,228
M&P,Overnight,Sindh,2.6,0,749
Leopard,Overnight,Punjab,1.36,50000,1163
TCS,Overnight,Pakhtunkhwa,7.39,20000,1669
M&P,Same Day,Sindh,8.17,0,1157
Leopard,Overland,Punjab,4.53,10000,662
Pakistan Post,Local,Islamabad,7.89,20000,680
TCS,Economy,Pakhtunkhwa,0.5,0,200
M&P,Overnight,Balochistan,1.53,0,632
Pakistan Post,City to City,Punjab,1.32,10000,490
TCS,Local,Punjab,2.07,0,372
M&P,Same Day,Sindh,0.56,50000,945
Pakistan Post,Local,Islamabad,1.45,0,245
Leopard,Economy,Balochistan,2.27,0,218
Leopard,Economy,Pakhtunkhwa,2.4,50000,807
Pakistan Post,Local,Sindh,0.81,0,208
Pakistan Post,City to City,Balochistan,1.52,0,373
Pakistan Post,Local,Sindh,1.91,0,250
TCS,Economy,Sindh,0.61,10000,295
M&P,Local,Punjab,6.93,0,535
M&P,Same Day,Punjab,6.15,10000,1054
Leopard,Overnight,Sindh,2.21,0,636
Pakistan Post,City to City,Sindh,3.27,20000,750
Leopard,Economy,Sindh,9.96,0,484
TCS,Local,Punjab,0.37,50000,839
M&P,Same Day,Balochistan,1.74,0,551
Leopard,Overnight,Punjab,5.33,50000,1487
Pakistan Post,City to City,Islamabad,1.82,100000,1631
Leopard,Overland,Punjab,2.6,0,378
Leopard,Overland,Punjab,0.17,100000,1378
Pakistan Post,City to City,Islamabad,0.55,0,308
TCS,Overland,Balochistan,3.63,0,613
Leopard,Overland,Punjab,2.68,10000,497
TCS,Local,Pakhtunkhwa,0.79,10000,409
M&P,Economy,Sindh,2.83,0,262
M&P,Local,Balochistan,5.56,20000,689
Leopard,Economy,Pakhtunkhwa,9.66,10000,621
TCS,Overland,Balochistan,5.54,100000,2002
M&P,Overnight,Punjab,1.62,0,642
Leopard,Overland,Punjab,0.2,50000,798
Pakistan Post,Local,Sindh,2.83,20000,507
Pakistan Post,City to City,Islamabad,1.7,0,391
Pakistan Post,City to City,Sindh,5.23,0,669
TCS,Economy,Punjab,0.43,50000,807
Pakistan Post,City to City,Punjab,3.62,0,521
Leopard,Overnight,Balochistan,4.37,0,860
Leopard,Overland,Punjab,2.12,20000,543
TCS,Local,Islamabad,0.7,0,315
TCS,Overland,Islamabad,0.74,50000,889
TCS,Economy,Pakhtunkhwa,5.68,20000,683
TCS,Overnight,Pakhtunkhwa,0.49,10000,761
TCS,Same Day,Islamabad,2.42,0,722
Pakistan Post,Local,Balochistan,2.97,50000,864
TCS,Economy,Sindh,6.33,0,487
M&P,Overnight,Pakhtunkhwa,0.26,20000,780
Pakistan Post,Local,Pakhtunkhwa,12.52,0,617
M&P,Same Day,Balochistan,4.05,10000,859
TCS,Local,Pakhtunkhwa,3.87,0,442
Pakistan Post,Local,Islamabad,0.45,100000,1330
TCS,Overland,Balochistan,1.0,0,312
M&P,Economy,Sindh,7.12,0,443
Leopard,Overnight,Pakhtunkhwa,5.56,50000,1531
TCS,Overnight,Punjab,1.55,20000,1029
TCS,Overland,Balochistan,3.08,10000,675
TCS,City to City,Balochistan,1.0,0,458
Pakistan Post,Local,Sindh,5.18,100000,1529
Pakistan Post,City to City,Pakhtunkhwa,2.7,10000,573
M&P,Same Day,Balochistan,6.69,0,1049
Pakistan Post,City to City,Islamabad,2.5,100000,1573
TCS,Overnight,Balochistan,0.25,0,674
Leopard,Overland,Pakhtunkhwa,0.34,0,190
Leopard,Economy,Balochistan,7.21,0,413
Leopard,Overnight,Balochistan,1.03,0,569
Leopard,Overland,Sindh,6.16,0,702
Pakistan Post,City to City,Punjab,0.44,0,281
Pakistan Post,City to City,Balochistan,6.26,50000,1261
Leopard,Overnight,Balochistan,4.18,100000,1993
Pakistan Post,City to City,Pakhtunkhwa,0.12,20000,509
Pakistan Post,City to City,Punjab,3.12,0,517
TCS,Overnight,Punjab,1.8,0,789
M&P,Economy,Balochistan,0.42,0,169
TCS,Same Day,Sindh,0.65,0,501
TCS,City to City,Punjab,0.33,0,426
M&P,Overland,Pakhtunkhwa,4.25,10000,676
Pakistan Post,City to City,Islamabad,1.27,50000,909
M&P,Local,Punjab,1.06,0,272
Pakistan Post,City to City,Balochistan,3.65,20000,792
Leopard,Economy,Sindh,1.06,0,164
Leopard,Overland,Balochistan,7.31,0,830
M&P,City to City,Balochistan,12.5,100000,2714
TCS,Overland,Sindh,0.19,0,234
M&P,Same Day,Sindh,10.44,10000,1403
Leopard,Overnight,Sindh,5.69,0,961
Leopard,Overland,Pakhtunkhwa,10.38,50000,1637
TCS,City to City,Pakhtunkhwa,0.95,0,441
Leopard,Overnight,Balochistan,1.04,0,543
Pakistan Post,City to City,Balochistan,0.33,20000,542
TCS,Overnight,Balochistan,4.34,0,1121
M&P,Economy,Sindh,0.43,10000,278
M&P,Economy,Pakhtunkhwa,3.74,0,285
Leopard,Overland,Punjab,2.39,0,345
Pakistan Post,Local,Punjab,1.62,50000,803
TCS,Local,Punjab,0.23,0,306
Pakistan Post,City to City,Sindh,0.2,0,270
Leopard,Overland,Punjab,8.31,0,900
Leopard,Economy,Sindh,2.09,0,210
TCS,Local,Punjab,2.07,100000,1564
M&P,Local,Pakhtunkhwa,0.95,10000,386
M&P,Economy,Pakhtunkhwa,4.19,0,316
Leopard,Overnight,Pakhtunkhwa,2.53,0,667
Leopard,Overland,Sindh,3.25,50000,963
TCS,City to City,Pakhtunkhwa,0.67,0,418
Leopard,Overland,Pakhtunkhwa,4.09,0,508
TCS,City to City,Sindh,2.69,10000,743
Leopard,Economy,Punjab,4.82,0,334
TCS,Economy,Balochistan,0.81,0,211
M&P,City to City,Sindh,4.59,20000,923
Leopard,Economy,Punjab,0.7,0,161
TCS,Economy,Pakhtunkhwa,1.66,0,251
Leopard,Economy,Islamabad,1.59,0,190
Pakistan Post,City to City,Islamabad,4.55,10000,716
M&P,Overnight,Punjab,0.33,20000,785
Leopard,Economy,Islamabad,1.79,50000,818
Pakistan Post,Local,Pakhtunkhwa,1.53,0,239
Leopard,Overland,Islamabad,5.68,0,660
M&P,Economy,Pakhtunkhwa,2.43,20000,454
M&P,Overland,Pakhtunkhwa,0.26,0,201
Pakistan Post,City to City,Sindh,1.24,0,325
TCS,Same Day,Balochistan,2.06,0,627
Pakistan Post,Local,Balochistan,6.17,50000,980
M&P,Same Day,Pakhtunkhwa,0.5,100000,1596
TCS,Same Day,Punjab,0.73,0,496
TCS,Overland,Punjab,3.35,0,560
TCS,Local,Punjab,2.99,0,417
Leopard,Overnight,Islamabad,3.61,0,766
Leopard,Economy,Balochistan,3.4,0,258
TCS,Local,Islamabad,6.14,0,581
Pakistan Post,City to City,Islamabad,0.45,0,298
Leopard,Economy,Sindh,5.05,0,328
M&P,Overland,Sindh,1.51,50000,822
M&P,City to City,Pakhtunkhwa,2.92,0,572
Pakistan Post,City to City,Islamabad,0.91,100000,1411
M&P,Overnight,Punjab,4.37,0,938
Leopard,Economy,Pakhtunkhwa,0.18,100000,1256
Leopard,Overland,Pakhtunkhwa,2.04,50000,929
TCS,Same Day,Sindh,2.31,0,670
Leopard,Overnight,Balochistan,6.95,50000,1632
Leopard,Overland,Balochistan,1.4,10000,389
Pakistan Post,Local,Sindh,8.06,0,463
TCS,Same Day,Punjab,1.63,0,636
TCS,Overnight,Pakhtunkhwa,0.7,0,680
Leopard,Overland,Punjab,0.71,0,209
TCS,Economy,Islamabad,1.5,0,234
Pakistan Post,City to City,Balochistan,6.57,10000,904
Leopard,Economy,Islamabad,5.6,0,343
TCS,Overnight,Balochistan,1.18,0,746
M&P,Local,Islamabad,0.4,0,249
TCS,Overland,Islamabad,4.11,0,635
Pakistan Post,Local,Balochistan,3.18,0,301
TCS,City to City,Balochistan,2.81,20000,873
M&P,Overland,Punjab,1.65,50000,921
M&P,Same Day,Sindh,2.87,100000,1722
TCS,Same Day,Balochistan,6.84,100000,2316
TCS,City to City,Pakhtunkhwa,1.85,0,564
Leopard,Overnight,Balochistan,1.05,0,565
Leopard,Overland,Punjab,1.31,0,277
TCS,Economy,Islamabad,16.3,100000,2031
Leopard,Economy,Pakhtunkhwa,9.88,0,521
M&P,Local,Islamabad,5.27,100000,1636
Leopard,Overnight,Balochistan,0.48,0,482
Leopard,Overland,Islamabad,3.44,20000,658
M&P,City to City,Balochistan,5.35,0,830
TCS,Same Day,Islamabad,0.87,10000,619
M&P,City to City,Islamabad,2.24,0,506
TCS,Same Day,Punjab,2.28,0,689
TCS,Same Day,Balochistan,1.59,0,600
TCS,Local,Balochistan,1.54,0,353
TCS,Overnight,Pakhtunkhwa,5.22,50000,1694
TCS,Overnight,Punjab,9.56,0,1752
TCS,City to City,Balochistan,6.04,0,1026
TCS,Economy,Balochistan,1.25,0,237
Pakistan Post,City to City,Punjab,0.31,10000,395
Pakistan Post,Local,Pakhtunkhwa,10.23,10000,686
Leopard,Economy,Balochistan,0.44,0,147
TCS,Local,Pakhtunkhwa,1.46,10000,464
TCS,City to City,Punjab,2.09,0,594
M&P,City to City,Sindh,0.66,100000,1455
M&P,Same Day,Islamabad,2.24,0,606
M&P,Same Day,Pakhtunkhwa,0.67,0,445
TCS,Overland,Pakhtunkhwa,1.66,0,367
M&P,Same Day,Balochistan,1.57,0,504
TCS,Overnight,Balochistan,0.16,20000,890
Leopard,Overnight,Balochistan,0.83,20000,775
Pakistan Post,Local,Balochistan,9.73,50000,1075
M&P,Overland,Pakhtunkhwa,1.03,20000,471
Leopard,Economy,Sindh,1.51,20000,408
TCS,Overland,Islamabad,9.43,0,1236
Pakistan Post,Local,Pakhtunkhwa,0.34,20000,417
Leopard,Overland,Pakhtunkhwa,3.14,0,440
Leopard,Overland,Islamabad,0.31,0,185
Leopard,Overland,Balochistan,0.25,50000,781
Pakistan Post,City to City,Sindh,0.14,0,289
TCS,Economy,Pakhtunkhwa,1.39,0,240
Leopard,Overnight,Sindh,1.69,0,621
Leopard,Economy,Pakhtunkhwa,6.97,0,387
Pakistan Post,Local,Punjab,0.13,100000,1406
Pakistan Post,City to City,Punjab,2.05,0,408
Leopard,Overnight,Punjab,2.86,0,739
Leopard,Economy,Sindh,0.23,20000,365
Pakistan Post,Local,Sindh,2.5,20000,519
TCS,Same Day,Balochistan,3.48,10000,947
M&P,Local,Islamabad,1.0,0,275
TCS,Overland,Pakhtunkhwa,0.27,20000,494
TCS,Same Day,Balochistan,4.01,10000,1016
M&P,Local,Sindh,0.59,20000,476
Pakistan Post,City to City,Sindh,1.16,0,341
M&P,Same Day,Islamabad,4.4,20000,1036
Leopard,Overland,Pakhtunkhwa,3.99,0,479
Leopard,Economy,Punjab,0.78,0,168
M&P,Overnight,Sindh,3.59,10000,954
TCS,Local,Punjab,5.6,0,514
Pakistan Post,Local,Balochistan,1.48,50000,844
TCS,Overnight,Balochistan,0.5,100000,1834
Leopard,Economy,Sindh,0.54,0,143
M&P,Overland,Punjab,3.0,10000,562
Pakistan Post,City to City,Pakhtunkhwa,2.24,0,411
TCS,Same Day,Pakhtunkhwa,0.26,20000,735
M&P,Same Day,Pakhtunkhwa,1.27,0,471
Leopard,Overland,Pakhtunkhwa,4.71,0,579
Leopard,Overnight,Balochistan,0.58,50000,1059
M&P,Same Day,Islamabad,2.84,0,678
Leopard,Economy,Balochistan,0.67,0,158
M&P,Overnight,Pakhtunkhwa,1.55,0,659
Pakistan Post,Local,Balochistan,11.78,50000,1115
TCS,Economy,Balochistan,3.69,0,357
M&P,Local,Sindh,1.78,0,306
Pakistan Post,Local,Islamabad,1.81,0,260
TCS,Same Day,Punjab,7.3,0,1198
Pakistan Post,Local,Pakhtunkhwa,0.52,100000,1379
Leopard,Overland,Pakhtunkhwa,0.24,50000,745
Leopard,Economy,Punjab,1.05,0,173
Pakistan Post,Local,Pakhtunkhwa,0.61,0,201
TCS,Local,Sindh,0.55,0,285
M&P,Economy,Punjab,4.06,0,304
Leopard,Overnight,Balochistan,0.26,100000,1677
Pakistan Post,Local,Balochistan,0.99,0,217
Leopard,Overland,Sindh,1.21,0,260
Pakistan Post,City to City,Islamabad,0.59,20000,508
TCS,City to City,Islamabad,11.91,100000,2927
Pakistan Post,City to City,Islamabad,2.45,20000,704
TCS,Overland,Balochistan,8.84,0,1201
TCS,Overnight,Balochistan,4.25,50000,1644
Leopard,Overnight,Punjab,11.56,0,1498
Leopard,Overnight,Balochistan,0.64,20000,767
M&P,Overland,Pakhtunkhwa,6.23,10000,881
Leopard,Economy,Islamabad,0.18,20000,379
Leopard,Overland,Punjab,2.17,100000,1493
M&P,Local,Sindh,4.58,0,398
TCS,Same Day,Pakhtunkhwa,4.35,100000,2128
M&P,Economy,Punjab,0.62,0,177
M&P,Overnight,Balochistan,7.2,100000,2351
Leopard,Overland,Balochistan,4.06,0,496
TCS,Economy,Sindh,6.52,0,476
Leopard,Overland,Balochistan,12.53,0,1272
Leopard,Economy,Punjab,1.77,50000,796
M&P,City to City,Pakhtunkhwa,3.91,0,646
Pakistan Post,City to City,Balochistan,1.33,20000,587
M&P,Same Day,Pakhtunkhwa,13.38,0,1683
Pakistan Post,City to City,Punjab,5.23,0,676
Leopard,Overland,Pakhtunkhwa,5.35,10000,728
TCS,City to City,Sindh,1.9,0,559
Leopard,Economy,Islamabad,5.63,50000,907
Pakistan Post,Local,Balochistan,3.48,100000,1387
M&P,Economy,Islamabad,3.3,0,272
Leopard,Overnight,Sindh,3.65,0,756
M&P,Overland,Sindh,4.42,100000,1780
Leopard,Overland,Islamabad,4.76,0,558
Pakistan Post,Local,Sindh,0.1,20000,427
TCS,Economy,Pakhtunkhwa,1.54,50000,857
TCS,Overnight,Pakhtunkhwa,0.15,20000,911
M&P,Economy,Islamabad,1.14,0,199
Pakistan Post,Local,Pakhtunkhwa,12.12,0,611
Leopard,Overnight,Islamabad,1.09,0,541
TCS,Overland,Balochistan,0.31,10000,339
Leopard,Overland,Sindh,0.33,20000,422
Leopard,Overnight,Pakhtunkhwa,6.39,0,1010
TCS,City to City,Balochistan,5.56,100000,2140
Leopard,Economy,Punjab,2.66,0,230
Pakistan Post,City to City,Pakhtunkhwa,0.47,10000,384
M&P,City to City,Punjab,6.44,0,928
M&P,Same Day,Pakhtunkhwa,1.97,50000,1175
Pakistan Post,Local,Balochistan,3.09,0,302
Leopard,Overnight,Pakhtunkhwa,0.43,10000,650
Leopard,Economy,Punjab,2.02,0,206
TCS,Economy,Islamabad,0.11,20000,407
Leopard,Overnight,Pakhtunkhwa,2.0,10000,752
Leopard,Economy,Sindh,1.88,10000,314
TCS,City to City,Islamabad,0.84,100000,1570
M&P,Overland,Balochistan,2.65,0,406
TCS,City to City,Islamabad,5.19,10000,1014
M&P,Overnight,Islamabad,0.19,0,531
M&P,Overland,Balochistan,1.61,100000,1520
Pakistan Post,City to City,Balochistan,2.91,10000,610
Leopard,Economy,Balochistan,0.1,0,145
Pakistan Post,City to City,Islamabad,2.88,0,465
TCS,City to City,Pakhtunkhwa,1.48,100000,1671
Pakistan Post,City to City,Pakhtunkhwa,0.35,50000,855
Pakistan Post,City to City,Punjab,1.45,0,349
TCS,Overnight,Islamabad,2.94,0,948
M&P,Overland,Punjab,2.37,0,410
TCS,City to City,Islamabad,1.74,10000,635
M&P,Local,Balochistan,0.49,0,245
M&P,City to City,Pakhtunkhwa,1.57,0,444
Pakistan Post,City to City,Islamabad,1.2,0,345
TCS,Overnight,Sindh,5.95,0,1228
Leopard,Overnight,Punjab,1.49,100000,1792
M&P,Local,Pakhtunkhwa,1.79,100000,1490
M&P,Same Day,Sindh,0.18,0,412
M&P,Overnight,Sindh,1.22,0,617
TCS,Same Day,Pakhtunkhwa,2.56,10000,800
Pakistan Post,Local,Sindh,2.38,20000,470
TCS,Overnight,Sindh,0.62,50000,1168
Pakistan Post,Local,Punjab,7.01,20000,659
M&P,Economy,Pakhtunkhwa,15.91,0,770
M&P,Economy,Pakhtunkhwa,0.19,0,170
Pakistan Post,City to City,Islamabad,2.52,0,466
M&P,Overnight,Sindh,1.18,50000,1134
Pakistan Post,Local,Pakhtunkhwa,0.9,0,222
Pakistan Post,Local,Balochistan,1.86,0,254
M&P,Overland,Islamabad,4.08,20000,795
TCS,Overnight,Balochistan,4.04,10000,1155
Leopard,Economy,Sindh,0.53,0,152
TCS,Overland,Pakhtunkhwa,0.22,0,243
Pakistan Post,City to City,Pakhtunkhwa,1.99,20000,615
M&P,Local,Pakhtunkhwa,2.08,0,317
TCS,Same Day,Sindh,0.78,0,500
M&P,City to City,Sindh,2.68,0,572
TCS,Same Day,Sindh,2.86,0,759
M&P,City to City,Pakhtunkhwa,0.11,0,338
Leopard,Overnight,Sindh,1.88,0,625
M&P,Local,Balochistan,0.19,0,249
Leopard,Economy,Balochistan,1.43,0,183
Leopard,Economy,Islamabad,4.83,0,309
TCS,City to City,Sindh,4.12,0,816
Pakistan Post,City to City,Balochistan,5.28,0,698
M&P,Local,Islamabad,3.95,100000,1540
TCS,Overnight,Sindh,2.49,0,860
Leopard,Economy,Balochistan,9.41,0,480
Leopard,Overland,Punjab,4.85,0,554
TCS,Local,Balochistan,3.4,20000,645
Leopard,Overnight,Sindh,0.17,0,514
Pakistan Post,City to City,Balochistan,0.2,50000,875
TCS,City to City,Punjab,2.74,0,632
Leopard,Economy,Punjab,3.85,0,290
TCS,Economy,Pakhtunkhwa,0.56,0,192
M&P,Economy,Punjab,0.53,0,161
Leopard,Overland,Islamabad,0.1,0,183
Leopard,Economy,Islamabad,0.29,0,146
Pakistan Post,Local,Islamabad,0.36,0,216
M&P,Overnight,Islamabad,5.65,100000,2309
M&P,Overland,Sindh,7.32,100000,2015
Pakistan Post,Local,Punjab,2.59,0,291
M&P,Local,Balochistan,3.85,0,405
Leopard,Overnight,Islamabad,3.48,0,759
Leopard,Overnight,Sindh,3.2,10000,845
M&P,Same Day,Islamabad,2.04,100000,1705
Leopard,Overland,Pakhtunkhwa,5.98,10000,815
M&P,Local,Islamabad,3.31,100000,1550
Leopard,Overland,Balochistan,0.21,100000,1360
TCS,Overnight,Pakhtunkhwa,11.12,100000,3055
TCS,City to City,Pakhtunkhwa,0.37,10000,495
TCS,Economy,Punjab,2.45,20000,497
Pakistan Post,Local,Punjab,0.16,20000,420
M&P,Economy,Islamabad,7.2,10000,561
Leopard,Economy,Pakhtunkhwa,1.62,0,193
Leopard,Overnight,Islamabad,2.31,0,647
Pakistan Post,Local,Sindh,1.55,10000,344
Leopard,Overland,Islamabad,4.55,0,545
TCS,Same Day,Sindh,3.36,0,821
M&P,City to City,Sindh,5.41,0,788
Pakistan Post,Local,Sindh,1.18,10000,354
TCS,Same Day,Balochistan,4.23,20000,1143
Leopard,Overland,Balochistan,2.37,0,360
Leopard,Economy,Islamabad,0.79,0,166
Pakistan Post,Local,Islamabad,4.66,0,341
Pakistan Post,Local,Pakhtunkhwa,1.57,0,238
Pakistan Post,City to City,Pakhtunkhwa,1.33,0,356
M&P,City to City,Punjab,3.61,0,651
Pakistan Post,City to City,Islamabad,9.61,0,1003
Pakistan Post,Local,Balochistan,9.94,0,556
TCS,Local,Punjab,0.7,50000,853
Pakistan Post,Local,Pakhtunkhwa,6.94,0,414
M&P,Overland,Punjab,5.87,20000,926
Leopard,Overnight,Pakhtunkhwa,15.89,0,1959
Pakistan Post,Local,Sindh,1.94,0,244
TCS,Economy,Punjab,12.02,50000,1367
Pakistan Post,Local,Islamabad,9.77,0,557
M&P,Overland,Punjab,2.04,0,350
Pakistan Post,City to City,Islamabad,0.63,0,309
TCS,Same Day,Islamabad,5.51,0,1044
Leopard,Economy,Sindh,0.24,0,144
M&P,Overnight,Balochistan,0.95,100000,1774
TCS,Same Day,Islamabad,0.6,0,521
Pakistan Post,Local,Islamabad,4.39,100000,1443
TCS,Overnight,Sindh,9.14,0,1567
TCS,Overland,Pakhtunkhwa,1.56,0,358
Pakistan Post,Local,Islamabad,0.74,0,209
TCS,Overnight,Sindh,4.28,10000,1127
TCS,Overland,Islamabad,9.11,0,1215
M&P,Overland,Sindh,1.29,0,268
M&P,Local,Balochistan,1.73,0,299
M&P,Local,Pakhtunkhwa,0.79,100000,1387
M&P,Economy,Pakhtunkhwa,3.13,20000,527
